,Comment
4589,마크 진짜  잘생겼다...
4590,팔짱끼고 마이크 들고있을때 손가락 엣지 디테일 ㄷㄷ
4591,헐 대박 이마크🫶🫶
4592,츄님 연기 댕자연스럽다
4593,개웃기네 진쫘
4594,츄랑 마크까지 섭외력 뭐예요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 짱이다!! 더 많이 보고싶다!!
4595,근데 뭔가 은근하게 진짜 음방분위기 잘 나는 게 개웃김 ㅋㅋㅋㅋㅋㅋ 마크랑 숏박스의 만남 기쁘다
4596,ㅋㅋㅋㅋㅋ 전 진짜 썸네일 보고 내 탐라에 이게 왜 뜨지..? 하고 넘겼었는데 알고 보니 여기에 마크가 나와서 탐라에 떴던거였어요..ㅋㅋㅋ큐ㅠㅠㅠ
4597,츄 너무 이뻐….
4598,현실 고증도 잘하고 웃음포인트도 중간중간 들어있는게 진짜 기획
4599,빨리 활동 끝내고 휴식에 들어가셔서 한 10년쉬셨으면 좋겠어요~
4600,츄 너무이쁘다아~
4601,방송화면 될 때마다 안경 한 3일 안 닦은 거 같은 뽀샤시 필터 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4602,화음에 누가 비브라토를..ㅋㅋ 이것도 일부러 개그요소로 넣으신건가. 역시 갓박스..
4603,아...제멜로...매력적이야..저 입술과 눈빛...미쳤다 ㅋㅋ
4604,DNA bring me here
4605,워후우우우ㅡㅇ우우 밖에 기억이 안나
4606,하.. 진짜.. 미치겠다 ㅠㅠㅠ 우리 DNA.. 왜 또 데뷔했어 ㅠㅠㅠㅠ ️️️ 소속사 그냥 일 하지마ㅠㅠ..️️
4607,울 마꾸리가 나온다 숏박스 고마워유 ㅜㅠㅠ
4608,츄 진짜 이뿌댜ㅠㅠㅠ
4609,숏박스 섭외력 미쳤누
4610,진짜 귀엽츄
4611,Why Mark is here??? I came in because I'm big fan of this channel.  It's nice to see my boy in one of my favorite channel.
4612,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 왜이리웃곀ㅋㅋㅋㅋㅋ
4613,지우 너무 귀여워ㅠㅠ 사랑해 지우야
4614,아 김원훈 아이라인 개킹받아요ㅠㅜㅡㅡㅠㅜㅜㅠ 디엔에이 영원하지말자!!!! 염색체가 응원해
4615,안보려 했는데 보길 잘했다ㅋㅋㅋㅋ 츄 넘  귀여워
4616,어머 마크도 너무 귀여웡
4617,처음에 화면 작게 해놓고 보는데 어?저 여자분 이쁘시당 이랬는데 우리 츄가 나왔다그리고 마크가 나오니까 와~~~~~~~~너무우우우우우 기여워어어어어어어어어
4618,순간 채널 잘못온줄... 원훈이형 턱돌이형 보고 빵터짐요ㅋㅋ!
4619,마크 연기까지 잘하는거냐구!!!🥹
4620,theyre so funny they look great as a pair omfg ITS PERFECT 🩷🩷🩷
4621,뭐야 이마크 너무 귀여워 (아직 안봤음)
4622,하… 너무 잘생겼자나
4623,마크 츄 연기 잘한다 ㅋㅋㅋㅋ엠씨 같아해도 될 듯
4624,마크 리하설때는 꿋꿋하게 마이크 이름 가려지게 들고 있다가 생방에는 이름 보이게 드는거 넘 프로같고 커엽네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4625,막쿠 너무 귀여워..🫨
4626,츄 너무 귀엽네 ㅋㅋㅋㅋ
4627,진짜 얼굴이 화끈거려서 볼수가 없넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4628,제멜로 자켓 사이에 보이는 토실토실한 복근이 자꾸 생각나 입덕했습니다. 건강합시다!!
4629,마크야 너무 귀엽다 으하핫 // 왤케 다 잘해 !!
4630,아니 왜 끝까지 못보겠지 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
4631,진세님 자기소개할때만 환호소리없는거에서 개터졌넼ㅋㅋ
4632,왜 고퀄인데요 ㅠㅠㅋㅋㅋㅋㅋ너무 좋아여 ㅠ
4633,마크야ㅠㅠ큨ㅋㅋㅋㅋㅋㅋㅋ 표정 진짜.. ㅋㅋㅋㅋ 기여우어어
4634,마크 넘 멋있고 귀여워웅
4635,제멜로 배꼽 너무 치명적이네요 ㅋㅋㅋ
4636,저희 마크 게스트로 출연 시켜 주셔서 감사합니다
4637,맑
4638,마크 뭐야 ㅋㅋㅋㅋㅋ 뭔가 평소에 안저러니까 더 귀여워
4639,아이마쿠우 진짜빠쁘네 사랑해 조금만힘내 아기애옹️ 시즈니사랑단 …. 꽁얼냥 챌린지 해주샤서감사합니다
4640,마크 미치게 긔엽다
4641,아니 mc꽁냥이끼리 모인거ㅜㅠ 아니냐구ㅠㅜㅜㅠㅋㅋ쿠ㅠㅋ
4642,오늘 미춌다 좋은영상 감사해요
4643,현실고증 미치겠다 DNA 가시밭길만 걸어!!!!!
4644,염색체들 소리질러~~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개킹받는당ㅋㅋㅋㅋㅋ
4645,해찬이는 동혁으로 알리바바와 40인의 도둑들로 데뷔했구나 응원할게♡
4646,우리 DNA 앞으로 가시밭길만 걷자
4647,무대에서 노래하면서 춤추는거 보고싶었는데..ㅜ
4648,츄 진짜.. 엄청 이쁘다..
4649,라이즈가 여기서 나올 줄 몰랐다 너무 반갑다
4650,너무 치명적이다 ....
4651,뭐야 츄가 왜 나옹와 심장마비 걸릴 버뉴샜어요
4652,와 게스트 미쳣다~~
4653,마크.... 귀여워요 아기
4654,보면서 소름이 몇번 돋았는지 모르겠어요 너무좋아 디엔에이 사랑햐 오래가자
4655,마크ㅠㅠㅠㅠㅠㅠㅠ 마크야 언제 숏박스까지 촬영한거니ㅠㅠㅠㅠㅠ
4656,마크씨 프로시네욬ㅋㅋㅋㅋㅋㅋ
4657,썸네일부터 킹 받아ㅋㅋㅋㅋ 마크님랑 츄님 짱예 짱잘
4658,마크선배님과 챌린지 찍을거죠?
4659,마크 뭐야!!! 이마크 뭐야
4660,마크 마이크 반대로 쥔거 귀여워 ㅠㅠㅠㅠ
4661,Mark and Chuu here together!!! Wowwwwwwww
4662,마크 처음에 마이크 이름표 안보이게 거꾸로 든 거 개킹받네ㅋㅋㅋㅋ
4663,맠냥이 너무 귀여웡!!!!
4664,아 마쿠야앙ㅇ
4665,저 이분들 처음보는데요 망사 킹받네여ㅋㅋㅋㅋㅋㅋㅋㅋ
4666,오랜만에 빵터져서 웃었네요    알리바바와 40인의 도둑들 무대가 너무 궁금해요 ㅋ   2편 없어요?
4667,진짜 츄 너무 귀엽고 예쁘다..
4668,형님들 나중에 장이수님도 섭외해주세요 ㅎㅎㅎㅎ
4669,진세오빠 배꼽티…. 시스루… 존나킹이다 진짜
4670,마크님잘생기셨네욥
4671,츄 너무 귀여워
4672,마크보려고 들어오려다가 썸넬보고 좀 고민했네요..
4673,썸넬 보고 안들어왔다가 볼거없어서 들어갔는데 츄.. 진작 보러올걸
4674,마크야 이건 또 언제 찍었어!!! 연기도 잘하네에
4675,우리 라이즈 임파서블이 나오다니! 감사합니다! 우리 라이즈도 한번 나오자!
4676,진세님 뱃살 너무 시강
4677,마크야 연기해다오.. 재능있어
4678,조회숰ㅋㅋㅋㅋㅋ쿠ㅜㅜㅜㅜ 미쳤넼ㅋㅋㅋㅋㅋㅋㅋㅋ
4679,와...숏박스 월드스타~
4680,바로달려왓다
4681,진세 형 왜 잘 어울리지 ㅋ
4682,ㅋㅋㅋㅋㅋㅋㅋ 아니 근데 츄 마크 왤케 잘해 대박이네
4683,야이마크…너무귀욥자나…
4684,지우도 마크도 다 이 영상에서 유독 더 예뻐서 킹받음
4685,라이즈라뇨!! 나중에 한번 출연시켜주세요!
4686,마크 진심으로 무대의상보다 이 착장이 더 예쁘다 sible
4687,역시 제멜로 앞에선 마크도 어쩔수없구낭 ㅠㅠㅠ제멜로 미모 어쩔꾸..
4688,아니 마크야? 숏박스라니 언제 찍었어 또!!!!
4689,이번에는 지우누나가 연기를 귀엽게 엄청 잘하시는 것 같습니다
4690,ㅋㅋㅋㅋㅋ아 무당같으신 두분때문에 몰입이 안되요 제발 ㅋㅋ
4691,아니 갑자기 라이즈 나와서 개놀랬네ㅋㅋㅋㅋㅋㅋㅋㅋ 우리 라이즈 많관부숏박스라브뜨
4692,츄 진짜 귀엽다
4693,아니 이마크 마이크 거꾸로 들었잖아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4694,와 미친거같애 짖ㅁ자로 ㅋㅋㅋㅋㅋㅋㅋㅋ 마크랑 츄가 왜 여기에 ㅋㅋㅋㅋㅋㅋ 근데 개잼싸 ㅋㅋㅋㅋㅋㅋ
4695,귀욥다귀욥따
4696,이마크 개귀여웤하ㅠㅜㅠㅠㅠㅠㅜㅜㅠ..
4697,아니ㅋㅋㅋㅋㅋㅋ 썸네일을 원훈으로 해놓네 츄랑 마크 나오는 거 모르고 걍 넘기려다 함 들어왔는데 개꿀
4698,마크야웃을때 넘예뻐
4699,진세님 오늘 영상 이토준지에 나올 거 같이 나왔어요!!
4700,츄….너무 귀여워……
4701,진세님 턱이 더 자랐어용 매력쟁이
4702,이마크 진짜 왜케 귀여우ㅜ
4703,사랑한다 맠으야..
4704,맊끌리 ㅜㅠㅠㅠㅠㅠ귀여워
4705,김츄진짜 얼굴미쳤네
4706,마크야 ㆍㆍ 이런걸 하는 마크야 너무 귀여워요 오웅 애옹
4707,마법처럼 너에게 빠져들었어~~~
4708,마크 마이크 꺼꾸로 잡은거 귀엽네 ㅋㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋ
4709,마크 불러주셔서 너무 감사합니다ㅠㅠ
4710,지우 마크 둘다 내 사랑들… 둘다 나에게로
4711,츄 너무 예쁘다
4712,마크 이건 또 언제 찍은거야..안 아픈게 신기할 정도다
4713,마크 왤케 귀엽냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4714,어디서 또 이딴걸 들고와써
4715,오옹? 마크야 언제왔오용?
4716,이번건 너무 힘들다 원훈아
4717,와 뭐야ㅠㅠㅠ
4718,츄랑 마크만 보면 행복할 것 같아요.. 호우~
4719,라이즈 임파서블 나오길래 라이즈도 나오는 줄 알앗다...
4720,수상하게 라이브 인터뷰를 너무 잘하는 디엔에이…
4721,츄랑 메컵분이랑 왜 서로 언니라고 해요 ㅠㅋㅋㅋ넘 귀여움
4722,Mark cuteee
4723,마크가 여기서 나왛ㅋㅋㅋㅋㅋ 아 마크야ㅜㅋㅋㅋㅋㅋ욱기고 귀엽다…츄님도 너무 귀엽고
4724,아 마크 꽁꽁이 여기서 나온 거였다니 난 또 뮤직뱅크 비슷한 건 줄 알고 찾아보려고 했는데 ㅋㅋㅋㅋ
4725,화장 빡세게 했는데 얼굴 흘러 내린 거 개웃김ㅜㅋㅋㅋㅋㅋ
4726,마크 보러 왔어요
4727,츄랑 마크 부분만 편집해서 부탁드립니다.
4728,진세는 환호를 안햌ㅋ
4729,마크야 너무 귀여워요 ㅋㅋㅋ
4730,3004 음원 내주세요~!!!
4731,앜ㅋㅋㅋ 팬덤 염섹체에서 저항없이 터졌네ㅡㅋㅋㅋㅋㅋㅋ
4732,마크 너무 귀여워요
4733,마크 귀여웤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4734,아니 마크 귀여워 죽겟다구요 ㅜㅜㅠㅠㅜㅜㅠㅠ 마크 솔로 200도 많이 들어주세요!!!!!
4735,진짜 티비프로인줄알고 뮤직박스검색했네요ㅎㅎ
4736,이거 진짜 같아서 더 소름돋네 ㅋㅋㅋㅋㅋㅋㅋ 아 웃겨 이마크 왤케 연기 잘하는데오 snl 짬밥이 이런건가
4737,대마크형 여기서도 보다니!!! 대 마 크 !!!
4738,아ㅋㅋㅋㅋㅋ 미쳤나봐!!!!!
4739,이마크 왜케 똘망귀욤
4740,공백기가 가장 기대되는 그룹
4741,역대급이다....렌즈...ㅋㅋㅋ 대박~!
4742,우리 아기 애옹이 마이크 뒤집은 거 컨셉인가요
4743,마크랑 츄 나올때 입꼬리가 걷잡을 수 없이 올라가고 행복했는데 dna 나오자 마자 입꼬리가 내려갔음..
4744,이와중에 EARTHㅋㅋㅋㅋㅋ 쉬캐치언니야들ㅋㅋㅋㅋㅋ
4745,마크야 ㅋㅋㅋㅋㅋㅋ 너무귀엽다 ㅋㅋㅋㅋㅋㅋ
4746,아니 마크 자꾸 마이크 거꾸로드는데요ㅠㅠㅠㅋㅋㅋㅋㅋㅋ귀여워ㅠ 숏박스팬분들..마크 200 많은 관심 부탁드려요️️
4747,마크야 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ기엽자낭 ㅠㅠ
4748,마크 언제찍은거야 ㅋㅋㅋ 숏박스 미쳤다 ㅋㅋㅋㅋㅋ츄마크귀여워 ㅠ
4749,츄 이쁘당
4750,비쥬얼 보이그룹 '드나'...컴백 축하!!
4751,츄 귀여워........
4752,마쿠야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠ
4753,마크님 진세형이랑 닮았다니 표정 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4754,ㅋㅋㅋㅋㅋㅋㅋ 찰스래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  특수학교 운영하실 거 같다 ㅋㅋㅋㅋㅋ
4755,숏박스 맞는지 채널명 다시 확인함 ㅋㅋㅋㅋㅋ
4756,지구를 지켜츄! 사랑해 파이팅! . . . . 어라 여기가 아닌가…
4757,ㅋㅋㅋㅋㅋ그 특유의 뮤직뱅크 갬성 개잘살렸네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4758,Mark Lee
4759,간조님이랑 만조님 아니세여?!
4760,츄 진짜 잘하네 ㅋㅋㅋㅋ
4761,썸네일을 견디고 들어온자만이 츄와 마크를 볼 수 있다
4762,당장 썸네일을 마크와 츄로 바꾸시오
4763,아이라인 진짜 개킹받는다 원훈아ㅋㅋㅋ
4764,언주중김수현 연기 뭐냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠ
4765,숏박스 태일에 마크에 엔시티 사랑하는 듯
4766,mark
4767,영상 퀄리티 뭐냐구ㅋㅋㅋㅋㅋ
4768,처음에 마크 마이크 반대로 든 거 비밀로 해줍시다 쉿
4769,마크야 이런 건 또 언제했어?
4770,너무귀엽다 마크야
4771,아나 마크야 널 여기서 보다닠ㅋㅋㅎㅋㅎㅋㅋㅎㅋㅎㅋㅎㅋㅋㅎㅋㅎㅋㅎㅋㅎㅋㅋㅋㅋㅋㅎㅋ 놀랔ㅅ네
4772,개킹받아 김원훈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4773,언제찍은거야이마크 ㅋㅋㄱ재밌어
4774,마크랑 츄 분량 비하인드가 시급합니다.....
4775,진세 오빠 왜 잘생겨 보이지..?
4776,아 이마크 귀엽네... 으맠중심 때 생각나자나ㅜㅜ
4777,헐 이마크 뭐야......진짜뭐야.....🥹🥹 우리마크가 여기에 나오다니!!!!!!!
4778,마크 마이크 뒤집어잡은거 귀엽누
4779,'그 전에' 존나 하는거 고증 개우끼넼ㅋㅋㅋㅋ
4780,아 마크 츄 나온줄 알았으면 진작 봤죠ㅠㅠㅠㅠㅋㅋㅋㅋㅋ
4781,헐 마크야ㅋㅋㅋㅋㅋㅋㅋㅋ
4782,아니 얼스언니들 이것때문에 빌드업한거냐고ㅋㅋㄱㅋ세계관통합 미쳤다
4783,마크 솔로 200 많관부
4784,아니 마크 왤케 귀엽냐고
4785,그냥 데뷔하고 다 즉자!!!
4786,아 이마쿠 쫀나귀여워!!!!!!
4787,아놔 이마크 ㅋㅋㅋㅋㅋㅋㅋㅋ 사랑스럽다
4788,츄 연기 잘하네 ㅋㅋㅋㅋ 마크 처음봤는데 저친구도 아주 연기잘하네요 ㅋㅋㅋㅋ 아주 훈훈하다 오늘 (디엔에이만 제외하고
4789,근데 이게 웃음 포인트가 어딘지 ㅜ
4790,마크 씨 너무 귀여워
4791,썸네일 밝은 할아버지 같아요
4792,Chhhhhhuuuuuu~~~ 나 귀 깔까 말까? 난  깔까 말까 했는데!!! ㅋㅋㅋㅋㅋ 텔레파시!!!!!! Awwwww~~so sweeet and cute like CHU!
4793,마크 모든 순간이 귀여워 으엉
4794,저정도 인터뷰 길이면 진심 대선배보다 더한 존재들인데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4795,English subtitles please
4796,마크 미쳣댜
4797,MC들 클라스가 남 다르네  초호화 퀄리티 무엇..??.!!?
4798,앜ㅋ 마크 너무 잘생겻어 근데 웜즈 보고 웃음기 싹 뺌
4799,와 이마크 귀엽다~~
4800,후속곡으로  포싸우전트 오클락(사천시)  부탁드려요
4801,아 썸넬 흘려보다가 재재님인줄 ㅋㅋㅋㅋㅋㅋ
4802,김원훈 눈주름에 끼일 거 같아요
4803,마크귀여워ㅠㅠㅠㅠㅠㅠ
4804,아니 마크네? mark네? 민형이네? 헐
4805,보다가 중간에 멈춘건 처음이야
4806,진짜 숏박스 섭외력이ㅋㅋㅋ 점점 ㄹㅈㄷ네ㅋㅋ
4807,아니 이게 머야? 우리 마크가 여기에?
4808,마크랑 츄를 어떻게 섭외한거에요...?
4809,츄랑 마크 너무 그림체 편안한데? 둘이 엠씨 좀
4810,눈을 의심함 이마크가 왜 여기서 나와???..???ㅋㅋㅋㅋㅋㅋㅋㅋ
4811,눈뜨고 못 보겠어ㅠㅠㅠㅠㅠㅠ
4812,츄 머리 웨이브 더부룩하게 하지마 제발.....
4813,음방 화면 보정먹어서 개뿌연거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 고증봐
4814,안상규아저씨 여기서 보니 반갑네유
4815,someone translate this to english
4816,홈택스 열일하십니다!
4817,마크가 여기 왜
4818,사랑의 쓰리싸우전드포 노래 좋은데요?
4819,마크 넘 기여어
4820,츄랑 마크 섭외라니
4821,진세 원훈만 함성없는거 너무한거 아니냐고 ㅋㅋㅋ
4822,대체 이 목욕탕 습기 같은 필터는 뭐임
4823,이참에 그냥음원까지낼꺼가타요
4824,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ안본눈 삽니다 ㅅㅂ
4825,마크 직캠 갖구 싶슴다..
4826,왜 마크랑 츄 나올때만 필터 써주세요?ᩚ
4827,근데 진세씨 진짜 잘 어울림
4828,츄랑 마크가 나오는데 썸네일 뭐에요 ㅠㅠ
4829,숏박스 섭외력 폼 미쳤다
4830,잠들기전인데 꿈에나올까봐 무섭다...
4831,MC분들 멘탈 오그라들지않은거 칭찬해
4832,보다가 끈거 오랜만이네...
4833,머큐리랑 매드몬스터랑도 콜라보해주새요
4834,ㅋㅋㅋㅋㅋㅋ 진세일때 소리 안지르는거 개웃기네
4835,DNA그룹에 김원훈닮은 애 옆에 조진세 닮은애 개 잘생김
4836,츄 연기 잘해
4837,츄 존예...
4838,츄 사랑합니다 ㅋㅋ
4839,하 이마크 어떻게 이렇게 잘생기고 귀엽고 이쁘고 깜찍하고 사랑스럽고 자세히
4840,찰스랑제멜로가 앞에 있는거 맞죠??
4841,말끝마다 오~~하는거 쥰니 킹받네ㅋㅋ
4842,와 이 영상보고 탈덕했어요 우리 DNA여러분 그딴 팀이 뭐라고 멤버가 4명이나 있는지 모르겠지만 항상 가시길만 걷고 나대지마 사랑해!
4843,피식대학 밟으실 수 있죠?
4844,ㅋㅋ 앜 ㅋㅋ 이번편 존나 넘기면서 봤넼ㅋㅋ
4845,미치겠닼ㅋㅋ 삼천포 ㅋㅋㅋㅋㅋㅋㅋ
4846,너무나도 유명한 솔솔랭랭 유행은 돌고도는거 아닌가요??
4847,아이 둘 아닌가요?
4848,와 썸네일만 보고 츄랑 마크 나오는지 몰랐닼ㅋㅋㅋㅋㅋㅋ 마크 제멜로랑 닮았다할때 정색하는것봨ㅋㅋㅋㅋㅋ
4849,Mark so cute
4850,썸네일 마크 껴줘요 난 팬이라 마크나온거 알아서 찾아보지만 모르는 사람많아요 그와중에 라이즈 임파서블 ㅋㅋㅋㅋ좋다
4851,지우 이뻐 ㅠㅠㅠㅠ
4852,원훈이형 아 나 역해서 못 보겠어요 미안해요
4853,알리바바 40인팀 무대가 너무 궁금해요
4854,알리바바와 40인의도적들 소개가 킬포닼ㅋㅋㅋㅋㅋ제갈혁ㅋㅋㅋㅋ독고혁도있ㅋㅋㅋ
4855,조만간 진짜 나올거같애 ㅋㅋㅋㅋㅋㅋㅋㅋ
4856,무표정으로 끝까지 다 보긴했다.. 이번화 뭘 한거지ㅋㅋ
4857,와!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  차이가 난다 다른거는 구취 해야할듯요 최고다
4858,레전드 솔솔랭랭ㅋㅋㅋ드디어 부활했다ㅋㅋ레전드ㅋㅋㅋ
4859,이제 츄랑 마크를…. 그들은 머기업
4860,this is funny even without the subtitles
4861,자기소개 때 환호소리 차이가 너무웃김
4862,와 처음에 내가 잘못들어갔나 잠시 벙쪄있었다
4863,안상규 벌꿀이 왜 여기서 나왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4864,우리 마크...고생했어요.... 웃음 어땋게 참았어 다 컷네....
4865,솔솔 랭랭 너무 무릉도원이네 명함이라도 뿌릴까 ㅋㅋㅋㅋ
4866,ㅋㅋㅋ 아 연기 진짜 잘햌ㅋㅋㅋ
4867,마크 진짜 잘생겼다
4868,아 이마크 진짜 폭룡적이게 귀엽네;
4869,마크 졸귀탱ㅠㅠㅠㅠㅠㅠㅠㅠ
4870,솔솔┓랭랭 오늘 날도좋고 그러는데 한번 달려보자꾸나
4871,썸네일 마크였으면 좀 더 일찍 봤을겁니다
4872,초반에 숏박스 채널인거 까먹고 넉놓고봤네 ㅋㅋㅋㅋㅋ
4873,첫 씬 보자마자 와 개 이쁘다 했는데 츄였어.. ㅋㅋㅋㅋ
4874,또 킹받게 잘만들어 났네..
4875,비브라토 지적...진짜 킹바다.ㅡㅡ....
4876,그와중에 진세형 안에 안입었어..?
4877,청주의 자랑 츄
4878,이마크가 여기 왜나왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4879,츄 엄청 귀엽다
4880,서브서브보컬님 옷 여매 주세요 제발!
4881,잠시 휴식가지구 아이디어 충전하고 오는게 나은것같아요
4882,컴백과 동시에 고백ㅋㅋㅋㅋㅋ
4883,이번편 조진세 왤케 서창빈 느낌나지
4884,아 ㅈㄴ귀여워 이마크
4885,원훈이형은 안꾸민게 왜 더 낫냐ㅋㅋ
4886,섭외 어떻게 했냐...미친
4887,혹시 안티카페 있나요? 링크좀여
4888,DNA 조진세님 배까지마...주세요...
4889,Mark
4890,츄와 마크라니...사랑합니다
4891,please add eng subtitle
4892,썸네일 누르기 전 마음의 준비 후하후하
4893,진세형 닮았다니까 마크 진심으로 빡친거 같은데??ㅋㅋㅋㅋ
4894,please release eng subs asap
4895,제멜로 의상 안에 망사인 거 이제알았음 ㅅㅂ 배꼽 뚫고나오려는 거 개 화나ㅠ
4896,서브서브보컬은 뭐뉴?
4897,서브서브 보컬 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4898,꺄 DNA 화면에 나오지마 !!!!!!!!!ㅠ퓨ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
4899,이거 모르는사람 없게 해주세여 솔솔랭랭
4900,중간부분 스킵해도 되나요 ? 도저히 못..보겟...
4901,내 마음속 방화범 DNA!!! ㅋㅋㅋㅋ
4902,more chuumark plzzzz
4903,숏박스가 현실고증을 버리고 상상의세계를
4904,DNA가 르세라핌보다 라이브잘하네
4905,진짜 웃기다 ㅋㅋㅋ
4906,와 뭔가 썸네일 부담스러워서 자꾸 알고리즘에 떠도 안보고있었는데 릴스에 마크 츄 뜬거보고 보러옴
4907,진짜 음원 나올까 두렵네
4908,no entiendo nada pero los amo
4909,마크 연기 왜이렇게 잘해ㅋㅋㅋㅋㅋㅋㅋ
4910,와 미치겠다
4911,와…..숏박스채널은 썸네일에 다른 유명인 쓰지 않고 숏박스 멤버만 쓰네
4912,또개열받는거들고왔네ㅋㅋㅋㅋ
4913,츄 섭외하고 썸네일 원훈이형 올리는거 개킹받네 진짜 ㅋㅋㅋ
4914,마크리 어쩌다가 여기 까지 왔어...
4915,그놈의 솔솔랭랭 때문에 내 도파민 닳고 닳아서 없어지겠네ㅋㅋㅋ
4916,개웃겨 츄마크 연기왜캐잘함 비하인드주세요
4917,뒤에 남자 두 분은 잘생겼는데 이름이 각각 어떻게 되시나요??
4918,Dna ~  모든건 우연이 아니니깐~
4919,이마크가 미친이라고 했다 이마크가 개웃기다라고 했다
4920,마크 솔로 ‘200’ 많관부~️️
4921,미친 마크야..??? 마크???? 내가 보는게 맞ㄴ니?
4922,진세형 소개할때 아무도 반응 없어버리네 ㅋㅋㅋㅋ
4923,이러다가 진짜 앨범 내겠네
4924,D졌NA~♡
4925,이마크 목소리존잘..
4926,츄랑 마크 보고 숏박스 맞나 다시 확인했다
4927,마크 연기 잘하네
4928,마쿠리 사랑해
4929,DNA 다시 들어가 ㅜㅜ
4930,츄 섭외 감사합니다
4931,조진세 소개때만 환호소리 뺀거봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4932,원딜 신규템 딜량이 말도안돼~ 솔솔㉯랭랭 초보원딜러승 개꿀딱?
4933,숏박스에 마크.....ㅋㅋㅋㅋㅋㅋ귀하다 진짜
4934,원훈님 메이포 음지님이랑 콜라보해주세요^^~
4935,썸네일보고 들어올까 말까 고민했어요 츄로 바꿔주세요
4936,뮤직 언박싱 ㅋㅌㅋㅋㅋㅋ 뻘하게 웃기네
4937,10억년 마다 나와야 하는 가수
4938,아 마크 왜케 설레지 현실말투 모야..... 그냥 마크라 설레는건가....
4939,아니 지우랑 마크 왤케 연기를 잘함???
4940,썸네일 받고 개열받아서 들어왔는데 츄 누나보고 일단 진정했다
4941,10초 넘기기 40번했어요~
4942,츄랑 마크 얼굴합 뭐야 미쳤다
4943,뭐ටㅑ 왜 츄랑 마크가 나와 근데 썸네일은 또 원훈이ටㅑ ….
4944,EARTH 이 날 데뷔했구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠ
4945,염색체ㅋㅋㅋ 개미친ㅋㅋㅋㅋㅋㅋㅋ
4946,마크를 건드리면.... 지멜론가 뭔가 걍 스릴러로 만들어버려......☻️
4947,자꾸 누가 애옹애옹 거리는데요?ㅋㅋ
4948,Eng sub please .. They both are so cute.. MARKCHUU
4949,나중에 알리바바 진짜 나올거 같아서 무섭다
4950,마크귀엽
4951,DNA 매드몬스터 갤럭시키즈 연말 합동 무대 레츠고
4952,턱긴애ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ터졌어요ㅋㅋㅋㅋ
